/M1/D (Wp=2e-06) X,/M1/D (Wp=2e-06) Y,/M1/D (Wp=3.6e-06) X,/M1/D (Wp=3.6e-06) Y,/M1/D (Wp=5.2e-06) X,/M1/D (Wp=5.2e-06) Y,/M1/D (Wp=6.8e-06) X,/M1/D (Wp=6.8e-06) Y,/M1/D (Wp=8.4e-06) X,/M1/D (Wp=8.4e-06) Y,/M1/D (Wp=1e-05) X,/M1/D (Wp=1e-05) Y
0.5599999999999999,0.0001968874031995288,0.5599999999999999,0.0003533407466435659,0.5599999999999999,0.0005097975850786508,0.5599999999999999,0.0006662548556280496,0.5599999999999999,0.0008227118349487664,0.5599999999999999,0.0009791682636277525
0.6,0.0002003844607039803,0.6,0.0003596296021724644,0.6,0.0005188782721631559,0.6,0.0006781273774263532,0.6,0.000837376187456149,0.6,0.0009966244402723049
0.64,0.0002038408372684541,0.64,0.000365846350108536,0.64,0.0005278554196155953,0.64,0.0006898649263801712,0.64,0.000851874133724346,0.64,0.001013882777455429
0.68,0.0002072695374707694,0.68,0.0003720141693873635,0.68,0.0005367623821191151,0.68,0.0007015110332484537,0.68,0.0008662593806669713,0.68,0.001031007158234962
0.7200000000000001,0.0002106801109155714,0.7200000000000001,0.0003781500868835626,0.7200000000000001,0.0005456236647725292,0.7200000000000001,0.0007130976815778969,0.7200000000000001,0.0008805713903305223,0.7200000000000001,0.001048044523147736
0.7600000000000001,0.0002140797403388929,0.7600000000000001,0.0003842669131464343,0.7600000000000001,0.0005544577066172124,0.7600000000000001,0.0007246489390616654,0.7600000000000001,0.0008948398590976403,0.7600000000000001,0.001065030197259759
0.8000000000000002,0.0002174739376139484,0.8000000000000002,0.0003903744811972916,0.8000000000000002,0.0005632786623181122,0.8000000000000002,0.0007361832821252009,0.8000000000000002,0.0009090875851820492,0.8000000000000002,0.00108199130056903
0.8400000000000002,0.0002208670056300533,0.8400000000000002,0.0003964804689582117,0.8400000000000002,0.0005720975851996428,0.8400000000000002,0.0007477151395823903,0.8400000000000002,0.000923332372907786,0.8400000000000002,0.00109894901290664
0.8800000000000002,0.0002242623542931709,0.8800000000000002,0.0004025909621330221,0.8800000000000002,0.0005809232370440753,0.8800000000000002,0.0007592559493597741,0.8800000000000002,0.0009375883363609948,0.8800000000000002,0.001115920124515543
0.9200000000000003,0.0002276627223398906,0.9200000000000003,0.0004087108494430106,0.9200000000000003,0.0005897626567735553,0.9200000000000003,0.000770814900630576,0.9200000000000003,0.0009518668149771126,0.9200000000000003,0.001132918125090562
